Created On,Change,Transaction Date Format,Supplier Name,Vendor Code,PO Type,PO Line Type,Service Code,Pur Order nos,Pur Order Item Nos,Material,Vendor material Number:,Material Description,Qty,UOM,CustomerLotNumber,Delivery Date,Unit Price,Price Per,Currency,Net Amount,Currency,Payment Terms,Terms of Delivery,Freight Carrier,Planner Line Comments,Item Line Text,Material Text,Bill to,Bill to Address,Ship to,Ship to Address,Ship To Plant,Ship From Plant,Part Number,Lot Qty,Lot Num,Parent Lot,Co-ProductYes/No,Wafer ID,Wafer Lot,Assembly House,Wafer FAB,Wafer REV,Special mark code,Production Order,Fab Site,Assembly Site,Test Site
06/01/2021,X,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600403444,10,RC01511ZC.N.A01,RC01511ZC.N.A01,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),2,WFR,354584.1,20210603,33000,100,USD,660,USD,N300,,,"PPR-001620 #23,24", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAE026X3FCN,2,C93745.1,,,,C93745.1,,,,,1441581,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406260,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356888.1,20210622,33000,100,USD,3960,USD,N300,,,"#13,14,15,16,17,18,19,20,21,22,23,24 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,356095.1,,,,E10424.1,,TOWER,X2,,1444490,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406259,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356887.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,356095.1,,,,E10424.1,,TOWER,X2,,1444489,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406249,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356878.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,355460.1,,,,E10426.1,,TOWER,X2,,1444480,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406250,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),13,WFR,356879.1,20210622,33000,100,USD,4290,USD,N300,,,"#13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,13,355460.1,,,,E10426.1,,TOWER,X2,,1444481,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406254,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),13,WFR,356883.1,20210622,33000,100,USD,4290,USD,N300,,,"#13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,13,356092.1,,,,C99430.1,,TOWER,X2,,1444486,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406252,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),13,WFR,356881.1,20210622,33000,100,USD,4290,USD,N300,,,"#13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,13,355463.1,,,,E10443.1,,TOWER,X2,,1444483,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406253,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356882.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,356092.1,,,,C99430.1,,TOWER,X2,,1444484,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406258,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),13,WFR,356886.1,20210622,33000,100,USD,4290,USD,N300,,,"#13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,13,356097.1,,,,C99435.1,,TOWER,X2,,1444488,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406257,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356885.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,356097.1,,,,C99435.1,,TOWER,X2,,1444487,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406251,10,RC1031ZC.N.A03,RC1031ZC.N.A03,ASSEMBLED DEVICE PI+ZC(7732-C4/LC2844),12,WFR,356880.1,20210622,33000,100,USD,3960,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAQ002X2FCN,12,355463.1,,,,E10443.1,,TOWER,X2,,1444482,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406248,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),25,WFR,356877.1,20210615,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,25,356086.1,,,,C99438.1,,TOWER JAZZ TEXAS,X1,,1444479,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406247,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),23,WFR,356876.1,20210708,25900,100,USD,5957,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,23,356082.1,,,,C99418.1,,TOWER JAZZ TEXAS,X1,,1444478,,,
06/01/2021,,mm/dd/yyyy,HuaTian Technology Electronics Co.112 Long Teng RdKunshan100CN215300,103164,Production,STANDARD,AS,4600406246,10,RC4041ZA.N.A01,RC4041ZA.N.A01,ASSEMBLED DEVICE  PI+ZA(7732-C4/LC2844),25,WFR,356875.1,20210615,25900,100,USD,6475,USD,N300,,,"#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25 ", ,,3000,Semtech International AG Neue Jonastrasse60ARapperswilZHCH8640,,,,3179,PAP004X1FCN,25,356079.1,,,,C99414.1,,TOWER JAZZ TEXAS,X1,,1444477,,,
