Item,PoNO,Supplier,ShipTo,FabDevice,CustomerDevice,GcVersion,Marking Lot ID,Date,LotId,WaferID,GoodDieQty,Pass Dies,WoNo,Lotproperty,lotOwner,TelePhone,Remark,Flow
1,ZJ2007020002,GCWH,HTKS,H0025BTAZH-0,GC02M1BO-3,FO,,2021/4/20,C003301,1,5869,,,,,,,TURN_NORMAL
2,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003312,1,5869,,,,,,,TURN_NORMAL
3,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFU285,1,5869,,,,,,,TURN_NORMAL
4,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFU965,1,5869,,,,,,,TURN_NORMAL
5,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG0195,1,5869,,,,,,,TURN_NORMAL
6,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1158,1,5869,,,,,,,TURN_NORMAL
7,ZJ2102020001,GCWH,HTKS,S5KTHDYP01-7CD,GC4653-3,CD,,2021/4/20,673252,1,1006,,,,,,,TURN_NORMAL
8,ZJ2101190010,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003350,2,5869,,,,,,,TURN_NORMAL
9,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2432,2,5869,,,,,,,TURN_NORMAL
10,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2952,2,5869,,,,,,,TURN_NORMAL
11,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C002036,3,5869,,,,,,,TURN_NORMAL
12,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG0864,4,5869,,,,,,,TURN_NORMAL
13,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C002365,5,5869,,,,,,,TURN_NORMAL
14,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2806,5,5869,,,,,,,TURN_NORMAL
15,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C003344,7,5869,,,,,,,TURN_NORMAL
16,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1918,7,5869,,,,,,,TURN_NORMAL
17,ZJ2101190008,GCWH,HTKS,C00007D,GC02M1-3,DJ,,2021/4/20,A004195,8,5869,,,,,,,TURN_NORMAL
18,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFK762,8,5869,,,,,,,TURN_NORMAL
19,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1237,8,5869,,,,,,,TURN_NORMAL
20,ZJ2102020001,GCWH,HTKS,S5KTHDYP01-7CD,GC4653-3,CD,,2021/4/20,673367,9,1006,,,,,,,TURN_NORMAL
21,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFN336,10,5869,,,,,,,TURN_NORMAL
22,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1656,10,5869,,,,,,,TURN_NORMAL
23,ZJ2102180001,GCWH,HTKS,S5KTJBGX06-7IA,GC2053-3,IA,,2021/4/20,673417,11,1060,,,,,,,TURN_NORMAL
24,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C002065,12,5869,,,,,,,TURN_NORMAL
25,ZJ2006300019,GCWH,HTKS,H0025BTAZH-0000000,GC02M1BO-3,FO,,2021/4/20,C002937,13,5869,,,,,,,TURN_NORMAL
26,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EFS949,13,5869,,,,,,,TURN_NORMAL
27,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1383,13,5869,,,,,,,TURN_NORMAL
28,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG1800,13,5869,,,,,,,TURN_NORMAL
29,ZJ2101190008,GCWH,HTKS,P018LE,GC02M1-3,EJ,,2021/4/20,EG2435,13,5869,,,,,,,TURN_NORMAL
30,ZJ2006300026,GCWH,HTKS,7605,GC2375H-3,ID,,2021/4/20,EF6976,13,5877,,,,,,,TURN_NORMAL
